Total Nacional,Comunidades y Ciudades Autnomas,Provincias,Rgimen y estado,Periodo,Total
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2019M12,559
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2019M11,634
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2019M10,677
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2019M09,570
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2019M08,576
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2019M07,678
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2019M06,621
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2019M05,804
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2019M04,683
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2019M03,746
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2019M02,866
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2019M01,1.013
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2018M12,600
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2018M11,662
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2018M10,736
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2018M09,648
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2018M08,605
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2018M07,662
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2018M06,628
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2018M05,611
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2018M04,629
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2018M03,747
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2018M02,736
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2018M01,827
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2017M12,526
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2017M11,689
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2017M10,536
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2017M09,542
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2017M08,622
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2017M07,620
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2017M06,580
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2017M05,727
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2017M04,399
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2017M03,562
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2017M02,480
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2017M01,570
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2016M12,372
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2016M11,397
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2016M10,375
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2016M09,477
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2016M08,522
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2016M07,479
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2016M06,509
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2016M05,519
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2016M04,509
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2016M03,449
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2016M02,532
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2016M01,507
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2015M12,395
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2015M11,413
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2015M10,380
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2015M09,411
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2015M08,394
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2015M07,413
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2015M06,407
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2015M05,366
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2015M04,435
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2015M03,637
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2015M02,544
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2015M01,636
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2014M12,383
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2014M11,479
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2014M10,461
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2014M09,457
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2014M08,391
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2014M07,554
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2014M06,529
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2014M05,607
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2014M04,687
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2014M03,760
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2014M02,669
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2014M01,801
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2013M12,562
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2013M11,657
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2013M10,554
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2013M09,647
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2013M08,589
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2013M07,759
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2013M06,577
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2013M05,636
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2013M04,530
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2013M03,477
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2013M02,858
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2013M01,1.097
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2012M12,520
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2012M11,517
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2012M10,571
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2012M09,737
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2012M08,684
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2012M07,742
