Comunidades y Ciudades Autnomas,Provincias,Periodo,Total
09 Catalua,Barcelona,2017,2726
09 Catalua,Barcelona,2017,3865
09 Catalua,Barcelona,2017,3457
09 Catalua,Barcelona,2017,3828
09 Catalua,Barcelona,2017,4306
09 Catalua,Barcelona,2017,4218
09 Catalua,Barcelona,2017,4384
09 Catalua,Barcelona,2017,4742
09 Catalua,Barcelona,2017,3290
09 Catalua,Barcelona,2017,4341
09 Catalua,Barcelona,2017,3770
09 Catalua,Barcelona,2017,4051
09 Catalua,Barcelona,2016,3017
09 Catalua,Barcelona,2016,3371
09 Catalua,Barcelona,2016,3119
09 Catalua,Barcelona,2016,3783
09 Catalua,Barcelona,2016,3737
09 Catalua,Barcelona,2016,3721
09 Catalua,Barcelona,2016,3673
09 Catalua,Barcelona,2016,3603
09 Catalua,Barcelona,2016,3351
09 Catalua,Barcelona,2016,3250
09 Catalua,Barcelona,2016,3217
09 Catalua,Barcelona,2016,3040
09 Catalua,Barcelona,2015,2542
09 Catalua,Barcelona,2015,2773
09 Catalua,Barcelona,2015,2581
09 Catalua,Barcelona,2015,2795
09 Catalua,Barcelona,2015,2606
09 Catalua,Barcelona,2015,3196
09 Catalua,Barcelona,2015,2680
09 Catalua,Barcelona,2015,2539
09 Catalua,Barcelona,2015,2619
09 Catalua,Barcelona,2015,2417
09 Catalua,Barcelona,2015,2689
09 Catalua,Barcelona,2015,2911
09 Catalua,Barcelona,2014,1942
09 Catalua,Barcelona,2014,2095
09 Catalua,Barcelona,2014,2280
09 Catalua,Barcelona,2014,2039
09 Catalua,Barcelona,2014,1967
09 Catalua,Barcelona,2014,2411
09 Catalua,Barcelona,2014,2129
09 Catalua,Barcelona,2014,2194
09 Catalua,Barcelona,2014,1823
09 Catalua,Barcelona,2014,1858
09 Catalua,Barcelona,2014,1772
09 Catalua,Barcelona,2014,2074
09 Catalua,Barcelona,2013,1327
09 Catalua,Barcelona,2013,1339
09 Catalua,Barcelona,2013,1447
09 Catalua,Barcelona,2013,1821
09 Catalua,Barcelona,2013,1914
09 Catalua,Barcelona,2013,1900
09 Catalua,Barcelona,2013,1670
09 Catalua,Barcelona,2013,1799
09 Catalua,Barcelona,2013,1519
09 Catalua,Barcelona,2013,1313
09 Catalua,Barcelona,2013,2034
09 Catalua,Barcelona,2013,2485
09 Catalua,Barcelona,2012,1244
09 Catalua,Barcelona,2012,1486
09 Catalua,Barcelona,2012,1268
09 Catalua,Barcelona,2012,1418
09 Catalua,Barcelona,2012,1560
09 Catalua,Barcelona,2012,1741
09 Catalua,Barcelona,2012,1465
09 Catalua,Barcelona,2012,1509
09 Catalua,Barcelona,2012,1176
09 Catalua,Barcelona,2012,1304
09 Catalua,Barcelona,2012,1563
09 Catalua,Barcelona,2012,1753
09 Catalua,Barcelona,2011,1092
09 Catalua,Barcelona,2011,1360
09 Catalua,Barcelona,2011,1087
09 Catalua,Barcelona,2011,1351
09 Catalua,Barcelona,2011,1458
09 Catalua,Barcelona,2011,1427
09 Catalua,Barcelona,2011,1386
09 Catalua,Barcelona,2011,1709
09 Catalua,Barcelona,2011,1254
09 Catalua,Barcelona,2011,1516
09 Catalua,Barcelona,2011,2802
09 Catalua,Barcelona,2011,2494
09 Catalua,Barcelona,2010,1481
09 Catalua,Barcelona,2010,1492
09 Catalua,Barcelona,2010,1342
09 Catalua,Barcelona,2010,1802
09 Catalua,Barcelona,2010,2271
09 Catalua,Barcelona,2010,2421
09 Catalua,Barcelona,2010,1923
09 Catalua,Barcelona,2010,1957
09 Catalua,Barcelona,2010,1778
09 Catalua,Barcelona,2010,2031
09 Catalua,Barcelona,2010,2337
09 Catalua,Barcelona,2010,1989
09 Catalua,Barcelona,2009,1265
09 Catalua,Barcelona,2009,1413
09 Catalua,Barcelona,2009,1668
09 Catalua,Barcelona,2009,1755
09 Catalua,Barcelona,2009,1375
09 Catalua,Barcelona,2009,1671
09 Catalua,Barcelona,2009,1496
09 Catalua,Barcelona,2009,1372
09 Catalua,Barcelona,2009,1120
09 Catalua,Barcelona,2009,1176
09 Catalua,Barcelona,2009,1190
09 Catalua,Barcelona,2009,1404
09 Catalua,Barcelona,2008,1095
09 Catalua,Barcelona,2008,1271
09 Catalua,Barcelona,2008,1391
09 Catalua,Barcelona,2008,1537
09 Catalua,Barcelona,2008,1375
09 Catalua,Barcelona,2008,1889
09 Catalua,Barcelona,2008,1701
09 Catalua,Barcelona,2008,1911
09 Catalua,Barcelona,2008,2212
09 Catalua,Barcelona,2008,1823
09 Catalua,Barcelona,2008,2265
09 Catalua,Barcelona,2008,2729
09 Catalua,Barcelona,2007,1927
09 Catalua,Barcelona,2007,2318
09 Catalua,Barcelona,2007,2377
09 Catalua,Barcelona,2007,2818
09 Catalua,Barcelona,2007,3035
09 Catalua,Barcelona,2007,3647
09 Catalua,Barcelona,2007,3646
09 Catalua,Barcelona,2007,4227
09 Catalua,Barcelona,2007,3165
09 Catalua,Barcelona,2007,4076
09 Catalua,Barcelona,2007,4412
09 Catalua,Barcelona,2007,5492
09 Catalua,Barcelona,2023,4037
09 Catalua,Barcelona,2023,5111
09 Catalua,Barcelona,2023,4551
09 Catalua,Barcelona,2023,5048
09 Catalua,Barcelona,2022,3889
09 Catalua,Barcelona,2022,5133
09 Catalua,Barcelona,2022,4668
09 Catalua,Barcelona,2022,5429
09 Catalua,Barcelona,2022,5060
09 Catalua,Barcelona,2022,5250
