DATA INCENDI,CODI COMARCA,COMARCA,CODI MUNICIPI,TERMEMUNIC,HAARBRADES,HANOARBRAD,HANOFOREST,HAFORESTAL
20/05/2022,30,Ribera d'Ebre,430653,Garcia,0,0.01,0,0.01
20/05/2022,34,Selva,171931,Sils,0.03,0,0,0.03
20/05/2022,41,Vallès Oriental,81075,Lliçà d'Amunt,0,0.01,0,0.01
20/05/2022,24,Osona,82711,Sobremunt,0.13,0,0,0.13
20/05/2022,33,Segrià,259123,Gimenells i el Pla de la Font,2.84,0.28,0.13,3.12
20/05/2022,2,Alt Empordà,170932,Llers,0.05,0,0,0.05
20/05/2022,30,Ribera d'Ebre,430846,Miravet,0,0.25,0,0.25
20/05/2022,4,Alt Urgell,252398,"Valls de Valira, les",0,0.01,0,0.01
20/05/2022,34,Selva,171931,Sils,0.04,0,0,0.04
21/05/2022,1,Alt Camp,430056,Alcover,0,0.01,0,0.01
21/05/2022,40,Vallès Occidental,81252,Montcada i Reixac,0,0,0,0
22/05/2022,15,Cerdanya,170242,Bolvir,0,0,0,0
22/05/2022,20,Gironès,170448,Cassà de la Selva,0,0.09,0,0.09
22/05/2022,24,Osona,81120,Manlleu,0.03,0,0,0.03
22/05/2022,33,Segrià,250788,Corbins,0,0.16,0,0.16
22/05/2022,9,Baix Ebre,431554,Tortosa,0,0,0,0
22/05/2022,33,Segrià,259123,Gimenells i el Pla de la Font,0,0.27,0.04,0.27
22/05/2022,6,Anoia,81653,"Pobla de Claramunt, la",0,0.24,0,0.24
23/05/2022,11,Baix Llobregat,82080,Sant Esteve Sesrovires,0,0.15,0.3,0.15
23/05/2022,11,Baix Llobregat,80728,Corbera de Llobregat,0,0.02,0,0.02
24/05/2022,9,Baix Ebre,439018,Deltebre,0,0.48,0,0.48
28/05/2022,7,Bages,81136,Manresa,0.05,0.48,0,0.53
28/05/2022,11,Baix Llobregat,82009,Sant Boi de Llobregat,0,0.8,0,0.8
28/05/2022,7,Bages,82188,Sant Joan de Vilatorrada,0,0.01,0,0.01
