,Àmbit territorial,Codi territorial,Nom territori,Any,Període,Habitatges,Renda
361,Municipi,8113,Manresa,2022,gener - desembre,1854,506.67
362,Municipi,43076,Marçà,2022,gener - desembre,8,343.12
364,Municipi,8114,Martorell,2022,gener - desembre,370,651.74
365,Municipi,8115,Martorelles,2022,gener - desembre,73,582.12
367,Municipi,17100,Masarac,2022,gener - desembre,7,644.29
370,Municipi,8117,"Masies de Voltregà, les",2022,gener - desembre,22,574.47
371,Municipi,43079,Masllorenç,2022,gener - desembre,9,513.33
372,Municipi,8118,"Masnou, el",2022,gener - desembre,556,929.85
375,Municipi,8119,Masquefa,2022,gener - desembre,106,661.86
379,Municipi,8120,Matadepera,2022,gener - desembre,135,1157.8
380,Municipi,8121,Mataró,2022,gener - desembre,2562,679.76
381,Municipi,8122,Mediona,2022,gener - desembre,44,446.76
384,Municipi,17105,Mieres,2022,gener - desembre,12,485.0
385,Municipi,25135,Miralcamp,2022,gener - desembre,6,426.67
387,Municipi,8138,Moià,2022,gener - desembre,193,512.09
389,Municipi,8123,Molins de Rei,2022,gener - desembre,515,760.24
390,Municipi,25137,Mollerussa,2022,gener - desembre,359,419.05
391,Municipi,8124,Mollet del Vallès,2022,gener - desembre,756,667.81
393,Municipi,8128,Monistrol de Calders,2022,gener - desembre,8,384.25
394,Municipi,8127,Monistrol de Montserrat,2022,gener - desembre,69,462.99
395,Municipi,17109,Montagut i Oix,2022,gener - desembre,10,610.0
396,Municipi,43086,Montblanc,2022,gener - desembre,111,402.23
397,Municipi,43088,Montbrió del Camp,2022,gener - desembre,71,462.73
398,Municipi,8125,Montcada i Reixac,2022,gener - desembre,507,667.72
399,Municipi,25139,Montellà i Martinet,2022,gener - desembre,17,457.77
400,Municipi,8131,Montesquiu,2022,gener - desembre,27,377.41
401,Municipi,25140,Montferrer i Castellbò,2022,gener - desembre,10,600.5
403,Municipi,25138,Montgai,2022,gener - desembre,6,364.72
404,Municipi,8126,Montgat,2022,gener - desembre,193,938.34
405,Municipi,8132,Montmajor,2022,gener - desembre,8,573.12
407,Municipi,43090,"Montmell, el",2022,gener - desembre,7,545.71
408,Municipi,8135,Montmeló,2022,gener - desembre,111,660.82
412,Municipi,8136,Montornès del Vallès,2022,gener - desembre,250,648.98
414,Municipi,17110,Mont-ras,2022,gener - desembre,6,545.83
415,Municipi,43092,Mont-roig del Camp,2022,gener - desembre,164,569.88
416,Municipi,8137,Montseny,2022,gener - desembre,19,531.58
417,Municipi,43093,Móra d'Ebre,2022,gener - desembre,83,361.4
418,Municipi,43094,Móra la Nova,2022,gener - desembre,30,377.17
419,Municipi,43095,"Morell, el",2022,gener - desembre,57,497.57
423,Municipi,25025,Naut Aran,2022,gener - desembre,15,829.67
424,Municipi,8140,Navarcles,2022,gener - desembre,114,479.46
425,Municipi,8141,Navàs,2022,gener - desembre,105,442.67
426,Municipi,17111,Navata,2022,gener - desembre,30,723.33
429,Municipi,43097,"Nou de Gaià, la",2022,gener - desembre,9,424.78
430,Municipi,43098,Nulles,2022,gener - desembre,10,527.0
432,Municipi,8143,Òdena,2022,gener - desembre,27,490.93
