CODI_10,NOM_ENS,ANY,TOTAL,HOMES,DONES
8101730008,Consell Comarcal del Garraf,2005,127928,,
2590310007,Ajuntament de la Guingueta d'Àneu,1994,273,,
1707730008,Ajuntament de Garriguella,1994,699,,
0802140003,Ajuntament de Bellprat,2021,73,46,27
0823250006,Ajuntament de Sant Pere de Riudebitlles,2000,2076,,
8100940003,Consell Comarcal del Baix Ebre,2015,79748,,
1706430008,Ajuntament d'Espolla,1991,390,,
2503490004,Ajuntament d'Artesa de Segre,2015,3614,,
1709790004,Ajuntament de Madremanya,2002,201,0,0
0820930008,Ajuntament de Sant Fost de Campsentelles,2002,6713,0,0
4303320002,Ajuntament de Botarell,2012,1126,,
2520170005,Ajuntament de Sarroca de Bellera,2019,121,,
2514310007,Ajuntament de Montornès de Segarra,2004,100,,
2504790004,Ajuntament de Bellcaire d'Urgell,2011,1356,681,675
8102520002,Consell Comarcal del Pallars Jussà,2015,13609,,
2501000000,Ajuntament d'Alcanó,1998,272,,
2507140003,Ajuntament de Cava,1996,61,,
2520220002,Ajuntament de Senterada,2008,141,75,66
4390180001,Ajuntament de Deltebre,2017,11499,5793,5706
0810220002,Ajuntament d'Igualada,2008,38164,18994,19170
0829810007,Ajuntament de Vic,2011,40900,20298,20602
2510010007,Ajuntament de Gósol,2008,233,132,101
2520000000,Ajuntament de Sarroca de Lleida,2001,462,,
0890450006,Ajuntament de Badia del Vallès,2005,14230,7091,7139
4306140003,Ajuntament de Forès,1992,61,,
2510390004,Ajuntament de Granyanella,2018,140,79,61
2501690004,Ajuntament d'Alguaire,1996,2825,,
1716800000,Ajuntament de Sant Joan de Mollet,2007,513,256,257
0811730008,Ajuntament de les Masies de Voltregà,1991,2479,,
0820930008,Ajuntament de Sant Fost de Campsentelles,1998,5854,,
2509620002,Ajuntament de la Fuliola,1990,1343,,
0812520002,Ajuntament de Montcada i Reixac,1990,27113,,
1719620002,Ajuntament de Terrades,1999,185,,
2525090004,Ajuntament de Vilanova de Meià,2002,438,0,0
0805000000,Ajuntament de Castellar del Riu,2014,171,96,75
4315150006,Ajuntament de la Torre de Fontaubella,2008,140,72,68
2525090004,Ajuntament de Vilanova de Meià,2011,422,223,199
1706810007,Ajuntament de Foixà,1992,302,,
1722720002,Ajuntament de Vilamaniscle,1996,128,,
4303470005,Ajuntament de Bràfim,2016,668,,
2515000000,Ajuntament d'Oliola,2008,262,149,113
2512660009,Ajuntament de Llavorsí,1996,273,,
4311070005,Ajuntament de la Pobla de Massaluca,1991,471,,
1715180001,Ajuntament de Riumors,2014,244,125,119
4307270005,Ajuntament del Lloar,2018,118,62,56
2590100000,Ajuntament de Vall de Cardós,2005,363,198,165
4302280001,Ajuntament de Batea,2021,1879,937,942
0811080001,Ajuntament de Malgrat de Mar,2009,18472,,
1717400000,Ajuntament de Sant Miquel de Campmajor,1991,217,,
0816530008,Ajuntament de la Pobla de Claramunt,2007,2193,1151,1042
7003210007,Entitat Municipal Descentralitzada dels Muntells,1996,486,,
2506420002,Ajuntament de Castellar de la Ribera,2010,156,,
2522650006,Ajuntament de Torrebesses,2006,305,,
1708710007,Ajuntament de Juià,2004,287,,
4310090004,Ajuntament dels Pallaresos,2012,4387,,
4305550006,Ajuntament de Falset,1999,2469,,
0890240003,Ajuntament de Vilanova del Vallès,1990,1361,,
