DATA INCENDI,CODI COMARCA,COMARCA,CODI MUNICIPI,TERMEMUNIC,HAARBRADES,HANOARBRAD,HANOFOREST,HAFORESTAL
28/05/2011,21,Maresme,81108,Malgrat de Mar,0.00,0.00,0.00,0.00
28/05/2011,11,Baix Llobregat,82634,Sant Vicenç dels Horts,0.00,0.18,0.00,0.18
28/05/2011,7,Bages,81918,Sallent,0.00,0.00,0.00,0.00
29/05/2011,11,Baix Llobregat,80898,Gavà,0.00,0.05,0.00,0.05
29/05/2011,6,Anoia,82508,Santa Margarida de Montbui,0.00,0.04,0.00,0.04
29/05/2011,16,Conca de Barberà,430862,Montblanc,0.00,0.05,0.00,0.05
29/05/2011,29,Priorat,431140,Porrera,0.00,0.02,0.00,0.02
31/05/2011,16,Conca de Barberà,431397,Santa Coloma de Queralt,0.00,0.00,0.00,0.00
01/06/2011,16,Conca de Barberà,431687,Vilanova de Prades,0.03,0.00,0.00,0.03
03/06/2011,41,Vallès Oriental,80863,"Franqueses del Vallès, les",0.02,0.00,0.00,0.02
03/06/2011,33,Segrià,252265,Torrebesses,0.00,0.08,0.00,0.08
03/06/2011,9,Baix Ebre,431021,Paüls,0.00,0.00,0.00,0.00
04/06/2011,2,Alt Empordà,172348,Biure,0.00,0.00,0.00,0.00
05/06/2011,6,Anoia,82508,Santa Margarida de Montbui,0.00,0.04,0.00,0.04
06/06/2011,18,Garrigues,250735,Cervià de les Garrigues,0.00,0.10,1.40,0.10
11/06/2011,23,Noguera,251569,Os de Balaguer,0.00,0.18,0.00,0.18
13/06/2011,21,Maresme,80403,Canet de Mar,0.00,0.00,0.00,0.00
14/06/2011,6,Anoia,82975,Veciana,0.00,0.00,0.00,0.00
14/06/2011,9,Baix Ebre,431554,Tortosa,0.00,0.91,0.00,0.91
15/06/2011,18,Garrigues,252069,"Soleràs, el",0.00,0.43,0.00,0.43
16/06/2011,11,Baix Llobregat,80765,Esparreguera,0.00,0.01,0.00,0.01
16/06/2011,6,Anoia,81038,Jorba,0.00,0.00,0.00,0.00
17/06/2011,11,Baix Llobregat,80898,Gavà,0.00,0.16,0.00,0.16
17/06/2011,11,Baix Llobregat,80689,Cervelló,0.00,0.00,0.00,0.00
18/06/2011,33,Segrià,250387,Aitona,0.00,0.06,0.00,0.06
19/06/2011,7,Bages,81918,Sallent,0.00,0.08,0.00,0.08
20/06/2011,21,Maresme,80351,Calella,0.00,0.00,0.00,0.00
20/06/2011,11,Baix Llobregat,82634,Sant Vicenç dels Horts,0.00,0.06,0.00,0.06
20/06/2011,33,Segrià,252326,Torres de Segre,0.00,0.09,0.00,0.09
21/06/2011,12,Baix Penedès,431634,"Vendrell, el",0.00,0.07,0.00,0.07
21/06/2011,33,Segrià,251749,"Portella, la",0.16,0.12,0.00,0.28
23/06/2011,10,Baix Empordà,171241,Pals,0.00,0.06,0.00,0.06
23/06/2011,10,Baix Empordà,170340,Calonge i Sant Antoni,0.00,0.30,0.00,0.30
23/06/2011,21,Maresme,80351,Calella,0.00,0.15,0.00,0.15
23/06/2011,41,Vallès Oriental,81810,"Roca del Vallès, la",0.00,0.10,0.00,0.10
24/06/2011,10,Baix Empordà,171997,Torroella de Montgrí,1.30,0.70,0.00,2.00
24/06/2011,20,Gironès,170792,Girona,0.00,0.05,0.00,0.05
24/06/2011,41,Vallès Oriental,80961,Granollers,0.00,0.01,0.00,0.01
24/06/2011,40,Vallès Occidental,81878,Sabadell,0.00,0.06,0.48,0.06
24/06/2011,6,Anoia,81192,Masquefa,0.00,0.03,0.00,0.03
24/06/2011,17,Garraf,82310,Sant Pere de Ribes,0.00,0.00,0.00,0.00
24/06/2011,12,Baix Penedès,430379,Calafell,0.00,0.02,0.00,0.02
24/06/2011,33,Segrià,250122,Alcoletge,0.00,0.08,0.00,0.08
25/06/2011,10,Baix Empordà,172327,Vilopriu,0.01,0.00,0.00,0.01
25/06/2011,2,Alt Empordà,171582,Sant Climent Sescebes,0.00,0.11,0.00,0.11
25/06/2011,34,Selva,172137,Vidreres,0.00,0.01,0.00,0.01
25/06/2011,7,Bages,80538,Castellbell i el Vilar,0.00,0.27,0.00,0.27
26/06/2011,41,Vallès Oriental,81069,Llinars del Vallès,0.00,0.11,0.00,0.11
26/06/2011,33,Segrià,251207,Lleida,0.04,0.50,0.00,0.54
27/06/2011,40,Vallès Occidental,81878,Sabadell,0.00,0.00,0.00,0.00
28/06/2011,10,Baix Empordà,179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",2.20,0.00,1.80,2.20
28/06/2011,10,Baix Empordà,172327,Vilopriu,0.00,0.01,0.03,0.01
28/06/2011,20,Gironès,170890,Llagostera,0.26,0.00,0.81,0.26
28/06/2011,20,Gironès,170448,Cassà de la Selva,0.01,0.00,0.00,0.01
28/06/2011,21,Maresme,81939,Sant Iscle de Vallalta,0.01,0.00,0.00,0.01
28/06/2011,41,Vallès Oriental,82592,Santa Maria de Palautordera,0.00,0.00,0.00,0.00
28/06/2011,21,Maresme,80095,Argentona,0.00,0.00,0.00,0.00
28/06/2011,15,Cerdanya,170617,Das,0.00,0.20,0.00,0.20
28/06/2011,7,Bages,80538,Castellbell i el Vilar,0.00,0.00,0.00,0.00
28/06/2011,8,Baix Camp,431628,Vandellòs i l'Hospitalet de l'Infant,0.00,0.00,0.00,0.00
28/06/2011,8,Baix Camp,430923,Mont-roig del Camp,0.00,0.02,0.00,0.02
29/06/2011,20,Gironès,170448,Cassà de la Selva,0.01,0.00,0.00,0.01
29/06/2011,11,Baix Llobregat,80898,Gavà,0.00,0.00,0.00,0.00
29/06/2011,12,Baix Penedès,431634,"Vendrell, el",1.20,8.60,0.90,9.80
29/06/2011,12,Baix Penedès,431634,"Vendrell, el",4.01,4.18,0.00,8.19
29/06/2011,22,Montsià,430141,Amposta,0.00,0.01,0.00,0.01
29/06/2011,33,Segrià,252000,Sarroca de Lleida,0.00,0.18,0.00,0.18
30/06/2011,2,Alt Empordà,170773,Garriguella,0.00,0.02,0.00,0.02
30/06/2011,20,Gironès,170448,Cassà de la Selva,0.03,0.00,0.00,0.03
30/06/2011,20,Gironès,170792,Girona,1.10,0.06,0.33,1.16
30/06/2011,7,Bages,80538,Castellbell i el Vilar,0.00,0.00,0.00,0.00
30/06/2011,6,Anoia,82508,Santa Margarida de Montbui,0.00,0.02,0.00,0.02
30/06/2011,38,Urgell,252173,Tàrrega,0.00,0.35,0.04,0.35
30/06/2011,29,Priorat,431573,Ulldemolins,0.00,0.00,0.00,0.00
01/07/2011,41,Vallès Oriental,81069,Llinars del Vallès,0.05,0.00,0.00,0.05
01/07/2011,38,Urgell,251095,Guimerà,0.00,0.90,0.00,0.90
01/07/2011,33,Segrià,250215,Almenar,0.00,0.30,0.44,0.30
01/07/2011,30,Ribera d'Ebre,430607,Flix,0.00,0.40,0.00,0.40
