Àmbit territorial,Codi territorial,Nom territori,Any,Període,Habitatges,Renda,Tram de preus
Municipi,43053,Duesaigües,2022,gener - desembre,1,,<= 350 euros/mes
Municipi,17062,"Escala, l'",2022,gener - desembre,161,641.24,> 600 euros/mes
Municipi,08076,Esparreguera,2022,gener - desembre,302,651.07,> 600 euros/mes
Municipi,17063,Espinelves,2022,gener - desembre,6,570.83,> 450 i <= 600 euros/mes
Municipi,25081,"Espluga Calba, l'",2022,gener - desembre,1,,<= 350 euros/mes
Municipi,43054,"Espluga de Francolí, l'",2022,gener - desembre,47,423.24,> 350 i <= 450 euros/mes
Municipi,08077,Esplugues de Llobregat,2022,gener - desembre,731,900.90,> 600 euros/mes
Municipi,17064,Espolla,2022,gener - desembre,4,,> 600 euros/mes
Municipi,17065,Esponellà,2022,gener - desembre,2,,> 350 i <= 450 euros/mes
Municipi,25082,Espot,2022,gener - desembre,3,,> 350 i <= 450 euros/mes
Municipi,08078,"Espunyola, l'",2022,gener - desembre,1,,> 600 euros/mes
Municipi,08254,"Esquirol, l'",2022,gener - desembre,29,451.23,> 450 i <= 600 euros/mes
Municipi,08079,"Estany, l'",2022,gener - desembre,12,530.42,> 450 i <= 600 euros/mes
Municipi,25085,Estaràs,2022,gener - desembre,1,,> 350 i <= 450 euros/mes
Municipi,25086,Esterri d'Àneu,2022,gener - desembre,26,418.58,> 350 i <= 450 euros/mes
Municipi,43055,Falset,2022,gener - desembre,57,432.80,> 350 i <= 450 euros/mes
Municipi,17005,"Far d'Empordà, el",2022,gener - desembre,2,,> 600 euros/mes
Municipi,43056,"Fatarella, la",2022,gener - desembre,1,,> 350 i <= 450 euros/mes
Municipi,08134,Figaró-Montmany,2022,gener - desembre,27,600.06,> 600 euros/mes
Municipi,08080,Fígols,2022,gener - desembre,1,,<= 350 euros/mes
Municipi,17066,Figueres,2022,gener - desembre,1345,510.17,> 450 i <= 600 euros/mes
Municipi,43059,Figuerola del Camp,2022,gener - desembre,2,,> 450 i <= 600 euros/mes
Municipi,17067,Flaçà,2022,gener - desembre,19,583.42,> 450 i <= 600 euros/mes
Municipi,43060,Flix,2022,gener - desembre,12,326.25,<= 350 euros/mes
Municipi,25092,"Floresta, la",2022,gener - desembre,3,,> 600 euros/mes
Municipi,08082,Fogars de la Selva,2022,gener - desembre,9,764.44,> 600 euros/mes
Municipi,08081,Fogars de Montclús,2022,gener - desembre,4,,> 450 i <= 600 euros/mes
Municipi,17068,Foixà,2022,gener - desembre,1,,> 600 euros/mes
Municipi,08083,Folgueroles,2022,gener - desembre,29,633.62,> 600 euros/mes
Municipi,08084,Fonollosa,2022,gener - desembre,3,,> 450 i <= 600 euros/mes
Municipi,17069,Fontanals de Cerdanya,2022,gener - desembre,10,794.00,> 600 euros/mes
Municipi,17070,Fontanilles,2022,gener - desembre,2,,> 600 euros/mes
Municipi,17071,Fontcoberta,2022,gener - desembre,5,,> 600 euros/mes
Municipi,08085,Font-rubí,2022,gener - desembre,10,611.00,> 600 euros/mes
Municipi,17902,Forallac,2022,gener - desembre,38,492.46,> 450 i <= 600 euros/mes
Municipi,43061,Forès,2022,gener - desembre,2,,> 350 i <= 450 euros/mes
Municipi,17073,Fornells de la Selva,2022,gener - desembre,20,978.15,> 600 euros/mes
Municipi,17074,Fortià,2022,gener - desembre,4,,> 450 i <= 600 euros/mes
Municipi,08086,"Franqueses del Vallès, les",2022,gener - desembre,389,680.74,> 600 euros/mes
Municipi,43062,Freginals,2022,gener - desembre,3,,<= 350 euros/mes
Municipi,25096,"Fuliola, la",2022,gener - desembre,11,365.00,> 350 i <= 450 euros/mes
Municipi,25097,Fulleda,2022,gener - desembre,1,,> 350 i <= 450 euros/mes
Municipi,08090,Gaià,2022,gener - desembre,1,,> 600 euros/mes
Municipi,43063,"Galera, la",2022,gener - desembre,5,,<= 350 euros/mes
Municipi,08087,Gallifa,2022,gener - desembre,2,,> 450 i <= 600 euros/mes
Municipi,43064,Gandesa,2022,gener - desembre,37,316.77,<= 350 euros/mes
Municipi,43065,Garcia,2022,gener - desembre,1,,<= 350 euros/mes
Municipi,43066,"Garidells, els",2022,gener - desembre,2,,> 350 i <= 450 euros/mes
Municipi,08088,"Garriga, la",2022,gener - desembre,383,758.67,> 600 euros/mes
Municipi,17075,Garrigàs,2022,gener - desembre,5,,> 600 euros/mes
Municipi,17076,Garrigoles,2022,gener - desembre,4,,> 600 euros/mes
Municipi,17077,Garriguella,2022,gener - desembre,15,579.00,> 450 i <= 600 euros/mes
Municipi,08089,Gavà,2022,gener - desembre,673,929.44,> 600 euros/mes
Municipi,25098,Gavet de la Conca,2022,gener - desembre,1,,> 350 i <= 450 euros/mes
Municipi,08091,Gelida,2022,gener - desembre,172,617.89,> 600 euros/mes
Municipi,17078,Ger,2022,gener - desembre,4,,> 450 i <= 600 euros/mes
Municipi,43067,Ginestar,2022,gener - desembre,3,,> 350 i <= 450 euros/mes
Municipi,17079,Girona,2022,gener - desembre,3200,698.05,> 600 euros/mes
Municipi,08092,Gironella,2022,gener - desembre,112,421.58,> 350 i <= 450 euros/mes
Municipi,43068,Godall,2022,gener - desembre,3,,<= 350 euros/mes
Municipi,25099,Golmés,2022,gener - desembre,10,387.50,> 350 i <= 450 euros/mes
Municipi,17080,Gombrèn,2022,gener - desembre,5,,> 350 i <= 450 euros/mes
Municipi,25100,Gósol,2022,gener - desembre,2,,> 450 i <= 600 euros/mes
Municipi,08094,"Granada, la",2022,gener - desembre,17,596.00,> 450 i <= 600 euros/mes
Municipi,25101,"Granadella, la",2022,gener - desembre,9,290.56,<= 350 euros/mes
Municipi,08095,Granera,2022,gener - desembre,1,,> 450 i <= 600 euros/mes
Municipi,25102,"Granja d'Escarp, la",2022,gener - desembre,2,,<= 350 euros/mes
Municipi,08096,Granollers,2022,gener - desembre,1327,712.18,> 600 euros/mes
Municipi,25103,Granyanella,2022,gener - desembre,1,,> 450 i <= 600 euros/mes
Municipi,25105,Granyena de les Garrigues,2022,gener - desembre,2,,<= 350 euros/mes
Municipi,43069,Gratallops,2022,gener - desembre,1,,> 350 i <= 450 euros/mes
Municipi,08097,Gualba,2022,gener - desembre,22,583.41,> 450 i <= 600 euros/mes
Municipi,17081,Gualta,2022,gener - desembre,1,,> 450 i <= 600 euros/mes
Municipi,08099,Guardiola de Berguedà,2022,gener - desembre,15,412.70,> 350 i <= 450 euros/mes
Municipi,43070,"Guiamets, els",2022,gener - desembre,4,,> 350 i <= 450 euros/mes
Municipi,17082,Guils de Cerdanya,2022,gener - desembre,7,928.57,> 600 euros/mes
Municipi,25109,Guimerà,2022,gener - desembre,5,,<= 350 euros/mes
Municipi,25903,"Guingueta d'Àneu, la",2022,gener - desembre,1,,> 450 i <= 600 euros/mes
Municipi,25110,Guissona,2022,gener - desembre,156,409.21,> 350 i <= 450 euros/mes
